title,description,tags
ContactTracingApp,,[]
Document Tag Generator,Our project is to generate tags for the projects on the department website.,[]
Flood Forecasting System,"Floods are the most destructive form of natural hazards in both local and global context. This is true in terms of both loss of life and property damage. Early flood forecasting can be used to identify potential areas of flooding in order to develop mitigatory planning and evacuation programs to remove people from such areas during flooding and also to implement suitable preventive measures to avoid damage to properties. In this project, our main objective is to build a flood forecasting system for Mi Oya river basin(Sri Lanka). Mi Oya Basin is heavily affected by seasonal flooding and droughts. As per the available data, floods in the Mi Oya basin are unleashed due to river overflow and reservoir spilling. Out of the several reservoirs located in the basin, Tabbowa and Inginimitiya are crucial in worsening the flood impacts as these two reservoirs are frequently spilling under adverse weather conditions. As such, the prevalence of a real-time flood forecasting model with the incorporation of the reservoir operations for the entire basin is essential to alleviate the flood induced impacts while preserving the optimum volume of water in the major reservoirs in the basin.",[]
Greenhouse Monitoring System,"Greenhouse Monitoring System provides a platform to manage the Greenhouse by tracking the phases of plant harvest, identifying any plant disorder and tracking the plant growth by using the image spectral data of plants. The system is basically considered the key problems plant diseases, huge harvest wastage and unnecessary expensive maintenance in a greenhouse. So this system will make a high positive impact on maximizing the harvest and reduce maintenance cost in Greenhouses.","['image', 'data']"
Greenhouse monitoring and controlling based on IOT sensor data,"In traditional farming, farmer has to visit the farming land regularly to measure the various environmental parameters such as temperature, humidity and light intensity to cultivate the right crops at right time in right soil. Even though this traditional farming system have been used for years, the system is hectic and fail to prove high productivity rate as farmer usually unable to measure all the parameter accurately. In contrast, greenhouse farming is a system where farmer cultivate crops in ecosystem environments where all environmental parameters are adjusted based on crop types. Automation in greenhouse is a method where farmer can monitor and control the greenhouse environment automatically from anywhere in the world any time. Automated greenhouse monitoring and controlling system that incorporate various sensors such as temperature sensor, humidity sensor and light sensor to collect possible environmental parameters of greenhouse. Internet of Things (IoT) is used to store data to a database and process the collected data and finally send the information to the web interface which has been developed for monitoring and controlling of greenhouse by the user.","['time', 'automation', 'monitor', 'automatically', 'automated', 'sensor', 'data', 'database']"
History of Music,The project 'History of Music' is a ML based project. In this project we expect to build a model to express how a piece of music evolved from various genres.,['ml']
Host Pathogen Interaction,Building the software for analyzing the microbiome data using machine learning technics. the application provides the GUI for the user they can easily analyze the data without any other programming knowledge developed by  @piriyaraj @varnaraj @thanujan @rilwan292,"['data', 'gui']"
NGS Data AnalysingToolkit,Detecting Biomarker for deaseases using the Next Generation Sequencing Data Set,['data']
Oral Cavity Region Detection,This project contains a web-based application that can be used to upload images of the oral cavity and identify the known regions which are normal. ,[]
Prediction of heart disease using ECG,A software for predicting heart diseases mainly including myocardial infarctions using ECG data,['data']
Prediction of risks associated with mass corona vaccination,"There is a trend among people not to get Covid 19 vaccinations. Because of the differing viewpoints of the various parties involved, society is skeptical of obtaining it. However, there is no research being done into the vaccination's side effects or the causes of illnesses and deaths. This project will look into the specific criteria or risks that come with vaccinations. So, this will help people to get an idea to check whether to take the vaccines or not. ",[]
Skim Sequencing Analysis,An Analytical Software for Next Generation Skim Sequencing Data.,[]
Sobriety Detection Using Mobile Phone Gyroscope Data,An intelligent API which is capable of passively tracking gyroscopic data to classify sobriety level in real-time that will help minimize risks of drunk-riding accidents for e-scooter sharing systems.,['data']
Visualization of Teacher Student Activities,This a graphical tool for represent teacher-student activities based on Moodle log data,"['graphical', 'data']"
apparel industry performance analyser,A tool for data visualization and performance optimization of the production process of apparel industry.,['data']
road accident analyzer,Road Accident Analysis for Community Awareness!,[]
Footwear Shop System,E16_3rd year - Software Engineering Project (CO328),[]
Learning Management Systerm,CO328 Software Engineering Group Project. ,[]
Movie Review System,,[]
Pharmacy Management System,,[]
Project Publication Platform,Website based platform for inventors and students to publish their projects and attract investment to continue their projects to the production stage.,[]
Student Management System,,[]
mystore,,[]
GPSARSA gaussian process state action reward state actios based SITNSHOP,An web application(+mobile application) to advertise any kinds of shops and more additional features,[]
Zero Trash,"Zero Trash provides a communication platform between its users and garbage collectors which did not exist (at least not successfully) in Sri Lanka. This could have huge implications for both lessening the cost of collecting garbage and aiding in the recycling process, as well as ensuring that materials that would otherwise end up in a landfill are transported to the appropriate recycling centers. This will increase the income for garbage collectors while providing householders with an additional income.",[]
Brain Tumor Detection,,[]
Swarm Robot Monitoring System group A,"A swarm robotics systems consists of automation robots with local sensing and communication capabilities, lacking centralized control or access to global information, situated in a possibly unknown environment performing a collective action. Therefore, having centralized monitoring in addition to the distributed local sensing yields to a more robust system as a centralized monitoring system capable of performing global collective actions under a wide range of group sizes (scalability), despite the possible sudden loss of multiple agents (robustness), and under unknown and dynamic circumstances (flexibility).",['automation']
Swarm Robot Monitoring System group B,"localization of robots, identifying  the boundary of arena and distance calculation with image processing(openCV python)",['image']
Swarm Robot Monitoring System group C,"Localization of multiple robots in real time, Video restoration at the presence of noise due to lighting conditions and degradation due to motion blur.",['real']
Mini Project Group H,A License / Number Plate Recognition (NPR) system using OpenCV and Python.,[]
SL Number Plate Detection Group A,An automated number plate recognition solution for Sri Lankan number plate images.,['automated']
Pera Knowledge Portal,"Pera Knowledge Portal is a web site that will allow visitors to do a full-text search on student project reports and thesis, developed using PHP and ElasticSearch",[]
finite element based structural non linear analysis,,[]
dynamic background cancellation in videos,Foreground estimation in dynamic background conditions using unsupervised learning techniques.,[]
mabandit,A python based library which includes multi_arm_bandit and Bayesian_optimization_algorithms. The PYPI repository  can be found as mabandit 1.3,['python']
packet forwarding simulator,Packet forwarding network simulator,['network']
RISCV Pipeline CPU Implimentation Group2,This is the RISC-V ISA implementation by Group 2,[]
RISCV pipeline cpu implementation group04,This is Advance Computer Architecture project of implementing Piplined Proccesor according to the RISC-V Instruction set,['computer']
RV32IM NoC implementation,,[]
RV32IM pipeline implementation group1,The objective of this project was to design and implement a 5 stage pipeline CPU to support the RISC-V instruction architecture. This pipeline CPU supports the entire RV32IM ISA which contains 45 instructions. The designed pipeline CPU was implemented using behavioral modeling in verilogHDL and icarus Verilog was used compile and simulate. gtkWave was used to observe the behavior.,"['pipeline', 'cpu']"
RV32IM pipeline implementation group3,CPU and memory system including cache memory implementation according to the RISC-V Instruction set,"['cpu', 'memory']"
balancing an inverted pendulum using a neural network,CO542 Project,[]
business to business database,"CO226 Project - Relational Database for B2B Online Trade Community - by: @Isuri-Devindi, @KavinduJayas, @Dr-Madhushan","['relational', 'database', 'online']"
